Cassin's Sparrow,1,0
Bachman's Sparrow,2,0
American Tree Sparrow,1,0
Chipping Sparrow,1,0
Clay-colored Sparrow,1,0
Brewer's Sparrow,1,0
Field Sparrow,1,0
Worthen's Sparrow,5,0
Black-chinned Sparrow,1,0
Vesper Sparrow,1,0
Lark Sparrow,1,0
Five-striped Sparrow,3,0
Black-throated Sparrow,1,0
Sagebrush Sparrow,1,0
Bell's Sparrow,1,0
Lark Bunting,1,0
Savannah Sparrow,1,0
Grasshopper Sparrow,1,0
Baird's Sparrow,2,0
Henslow's Sparrow,2,0
LeConte's Sparrow,1,0
Seaside Sparrow,1,0
Nelson's Sparrow,1,0
Saltmarsh Sparrow,1,0
Fox Sparrow,1,0
Song Sparrow,1,0
Lincoln's Sparrow,1,0
Swamp Sparrow,1,0
White-throated Sparrow,1,0
Harris's Sparrow,1,0
White-crowned Sparrow,1,0
Golden-crowned Sparrow,1,0
Dark-eyed Junco,1,0
Yellow-eyed Junco,2,0
Western Spindalis,3,0
Yellow-breasted Chat,1,0
Yellow-headed Blackbird,1,0
Bobolink,1,0
Eastern Meadowlark,1,0
Western Meadowlark,1,0
Black-vented Oriole,5,0
Orchard Oriole,1,0
Hooded Oriole,1,0
Streak-backed Oriole,4,0
Bullock's Oriole,1,0
Spot-breasted Oriole,2,1
